,10A,10B,10C,10D,10E,10F,10G,10H,11A,11B,11C,11D,11E,11F,11G,11H,12A,12B,12C,12D,12E,12F,1A,1Aa,1B,1Bb,1C,1Cc,1D,1Dd,1E,1Ee,1F,1Ff,1G,1Gg,1H,1Hh,2A,2Aa,2B,2Bb,2C,2Cc,2D,2Dd,2,2Ee,2F,2Ff,2G,2Gg,2H,2Hh,3A,3Aa,3B,3Bb,3C,3Cc,3D,3Dd,3,3Ee,3F,3Ff,3G,3Gg,3H,3Hh,4A,4Aa,4B,4C,4Cc,4D,4Dd,4,4Ee,4F,4Ff,4G,4Gg,4H,4Hh,5A,5Aa,5B,5Bb,5C,5Cc,5D,5Dd,5E,5Ee,5F,5Ff,5G,5Gg,5H,5Hh,6A,6Aa,6B,6Bb,6C,6Cc,6D,6Dd,6E,6Ee,6F,6Ff,6G,6Gg,6H,6Hh,7A,7B,7C,7D,7E,7F,7G,7H,8A,8B,8C,8D,8E,8F,8G,8H,9A,9B,9C,9D,9E,9F,9G,9H,AN16S,ON16S,repeat-4Bb,repeat-6Gg,repeat-6Hh
1174-901-12,0.015896227,0.044059523,0.021822512,0.002358398,0.009753692,0.00303125,0.025933967,0.005467349,0.002358398,0.024514857,0.00327076,0.037327397,0.061097576,0.007102864,0.011468217,0.001947651,0.012854269,0.016439479,0.001388151,0.002799373,0.012382507,0.013827556,0.000148546,0.019317963,0.000245727,0.014329297,0.001216837,0.004035513,0.004035513,0.022477682,0.000897365,0.003517944,0.001567083,0.012854269,0.003772846,0.002575098,7.19E-05,0.002149252,0.000245727,0.028156704,0.000245727,0.000356799,0.000356799,0.028923227,0.001053208,0.014841249,0.004306001,0.026662206,0.000245727,0.042061126,0.001053208,0.004584365,0.000245727,0.012854269,7.19E-05,0.002575098,0.000478618,0.00895186,0.000609746,0.003772846,0.002358398,0.003517944,7.19E-05,0.000245727,0.007102864,0.013335916,0.000478618,0.00895186,0.000148546,0.002358398,0.000478618,0.004306001,0.000148546,7.19E-05,0.002799373,0.000478618,0.013335916,0.002358398,0.005164973,0.000148546,0.014329297,0.002799373,0.009753692,0.002358398,0.023823728,7.19E-05,0.004870668,0.001216837,0.023144712,0.00327076,0.002799373,0.000478618,0.009753692,0.002149252,0.002149252,0.000245727,0.000478618,0.000148546,0.003517944,0.000478618,0.026662206,0.000478618,0.014329297,0.000148546,0.027403074,7.19E-05,0.012854269,7.19E-05,0.005777866,7.19E-05,0.031301497,0.002358398,0.004870668,0.000148546,0.000478618,7.19E-05,2.36E-05,7.19E-05,7.19E-05,0.000356799,0.000148546,0.000478618,0.000609746,0.000245727,0.003517944,0.000609746,0.000897365,0.000148546,0.000245727,0.000478618,7.19E-05,0.007816247,0.000148546,0.000609746,0.000245727,0.001567083,0.000148546,0.000609746,0.000148546,0.004306001,0.039176655,0.001053208,0.000897365,0.017558079,0.001947651,2.36E-05
67-14,0.048357321,0.126631466,0.065579005,0.00738176,0.03005442,0.009474169,0.077283043,0.016999904,0.00738176,0.07326545,0.010217542,0.108717538,0.169924586,0.022008946,0.035210562,0.006101477,0.039351889,0.049953615,0.004353918,0.008753767,0.037945025,0.042245637,0.000467153,0.058352139,0.000772608,0.043732817,0.003817993,0.012586047,0.012586047,0.067457265,0.002817531,0.010983935,0.004913255,0.039351889,0.011773412,0.008056303,0.000226218,0.006730143,0.000772608,0.083529382,0.000772608,0.001121571,0.001121571,0.085670457,0.003305741,0.045247062,0.013421926,0.079335749,0.000772608,0.121363351,0.003305741,0.014281143,0.000772608,0.039351889,0.000226218,0.008056303,0.001504104,0.02763027,0.001915651,0.011773412,0.00738176,0.010983935,0.000226218,0.000772608,0.022008946,0.040785377,0.001504104,0.02763027,0.000467153,0.00738176,0.001504104,0.013421926,0.000467153,0.000226218,0.008753767,0.001504104,0.040785377,0.00738176,0.016070017,0.000467153,0.043732817,0.008753767,0.03005442,0.00738176,0.071300388,0.000226218,0.015163803,0.003817993,0.069364359,0.010217542,0.008753767,0.001504104,0.03005442,0.006730143,0.006730143,0.000772608,0.001504104,0.000467153,0.010983935,0.001504104,0.079335749,0.001504104,0.043732817,0.000467153,0.081417837,0.000226218,0.039351889,0.000226218,0.017953587,0.000226218,0.092271504,0.00738176,0.015163803,0.000467153,0.001504104,0.000226218,7.44E-05,0.000226218,0.000226218,0.001121571,0.000467153,0.001504104,0.001915651,0.000772608,0.010983935,0.001915651,0.002817531,0.000467153,0.000772608,0.001504104,0.000226218,0.024182973,0.000467153,0.001915651,0.000772608,0.004913255,0.000467153,0.001915651,0.000467153,0.013421926,0.113685903,0.003305741,0.002817531,0.05322922,0.006101477,7.44E-05
A4b,0.166974042,0.363841127,0.216814757,0.02849858,0.108913775,0.036357447,0.248336811,0.063860949,0.02849858,0.237717819,0.039126845,0.324851896,0.446748655,0.081532415,0.125843735,0.023643059,0.13910798,0.171779128,0.016957035,0.03366235,0.134634573,0.148205599,0.001840197,0.196425007,0.003040705,0.152827692,0.014892994,0.047872626,0.047872626,0.221995512,0.011022561,0.04196971,0.019104395,0.13910798,0.044885233,0.031042424,0.000891744,0.026031782,0.003040705,0.264446174,0.003040705,0.004409577,0.004409577,0.269859122,0.012914094,0.1574972,0.050931118,0.25368375,0.003040705,0.352689747,0.012914094,0.054059948,0.003040705,0.13910798,0.000891744,0.031042424,0.005906916,0.100789893,0.007514077,0.044885233,0.02849858,0.04196971,0.000891744,0.003040705,0.081532415,0.143632006,0.005906916,0.100789893,0.001840197,0.02849858,0.005906916,0.050931118,0.001840197,0.000891744,0.03366235,0.005906916,0.143632006,0.02849858,0.060525613,0.001840197,0.152827692,0.03366235,0.108913775,0.02849858,0.232448298,0.000891744,0.057258363,0.014892994,0.22720711,0.039126845,0.03366235,0.005906916,0.108913775,0.026031782,0.026031782,0.003040705,0.005906916,0.001840197,0.04196971,0.005906916,0.25368375,0.005906916,0.152827692,0.001840197,0.25905396,0.000891744,0.13910798,0.000891744,0.06726362,0.000891744,0.286209713,0.02849858,0.057258363,0.001840197,0.005906916,0.000891744,0.000293337,0.000891744,0.000891744,0.004409577,0.001840197,0.005906916,0.007514077,0.003040705,0.04196971,0.007514077,0.011022561,0.001840197,0.003040705,0.005906916,0.000891744,0.08905075,0.001840197,0.007514077,0.003040705,0.019104395,0.001840197,0.007514077,0.001840197,0.050931118,0.335974245,0.012914094,0.011022561,0.181516904,0.023643059,0.000293337
Acidibacter,0.322635213,0.576105885,0.396807019,0.06516487,0.225072678,0.082278617,0.439802508,0.139491818,0.06516487,0.42563237,0.08822565,0.533444013,0.657398526,0.174197325,0.254893867,0.054412122,0.277443197,0.330144504,0.039375823,0.076449541,0.269915992,0.29251388,0.004361787,0.367431641,0.007195474,0.300051168,0.034679193,0.106727182,0.106727182,0.404069699,0.025801346,0.094285866,0.044234447,0.277443197,0.10045458,0.070743296,0.002116442,0.059719384,0.007195474,0.460719314,0.007195474,0.010415209,0.010415209,0.46759582,0.030151682,0.307585747,0.113099134,0.446821332,0.007195474,0.564218806,0.030151682,0.119565962,0.007195474,0.277443197,0.002116442,0.070743296,0.013923331,0.210329597,0.017672832,0.10045458,0.06516487,0.094285866,0.002116442,0.007195474,0.174197325,0.28497687,0.013923331,0.210329597,0.004361787,0.06516487,0.013923331,0.113099134,0.004361787,0.002116442,0.076449541,0.013923331,0.28497687,0.06516487,0.132766637,0.004361787,0.300051168,0.076449541,0.225072678,0.06516487,0.418484149,0.002116442,0.126123249,0.034679193,0.411296013,0.08822565,0.076449541,0.013923331,0.225072678,0.059719384,0.059719384,0.007195474,0.013923331,0.004361787,0.094285866,0.013923331,0.446821332,0.013923331,0.300051168,0.004361787,0.453794055,0.002116442,0.277443197,0.002116442,0.146294535,0.002116442,0.48792095,0.06516487,0.126123249,0.004361787,0.013923331,0.002116442,0.000696772,0.002116442,0.002116442,0.010415209,0.004361787,0.013923331,0.017672832,0.007195474,0.094285866,0.017672832,0.025801346,0.004361787,0.007195474,0.013923331,0.002116442,0.188506796,0.004361787,0.017672832,0.007195474,0.044234447,0.004361787,0.017672832,0.004361787,0.113099134,0.545933217,0.030151682,0.025801346,0.345118796,0.054412122,0.000696772
Acidicapsa_borealis,0.015896227,0.044059523,0.021822512,0.002358398,0.009753692,0.00303125,0.025933967,0.005467349,0.002358398,0.024514857,0.00327076,0.037327397,0.061097576,0.007102864,0.011468217,0.001947651,0.012854269,0.016439479,0.001388151,0.002799373,0.012382507,0.013827556,0.000148546,0.019317963,0.000245727,0.014329297,0.001216837,0.004035513,0.004035513,0.022477682,0.000897365,0.003517944,0.001567083,0.012854269,0.003772846,0.002575098,7.19E-05,0.002149252,0.000245727,0.028156704,0.000245727,0.000356799,0.000356799,0.028923227,0.001053208,0.014841249,0.004306001,0.026662206,0.000245727,0.042061126,0.001053208,0.004584365,0.000245727,0.012854269,7.19E-05,0.002575098,0.000478618,0.00895186,0.000609746,0.003772846,0.002358398,0.003517944,7.19E-05,0.000245727,0.007102864,0.013335916,0.000478618,0.00895186,0.000148546,0.002358398,0.000478618,0.004306001,0.000148546,7.19E-05,0.002799373,0.000478618,0.013335916,0.002358398,0.005164973,0.000148546,0.014329297,0.002799373,0.009753692,0.002358398,0.023823728,7.19E-05,0.004870668,0.001216837,0.023144712,0.00327076,0.002799373,0.000478618,0.009753692,0.002149252,0.002149252,0.000245727,0.000478618,0.000148546,0.003517944,0.000478618,0.026662206,0.000478618,0.014329297,0.000148546,0.027403074,7.19E-05,0.012854269,7.19E-05,0.005777866,7.19E-05,0.031301497,0.002358398,0.004870668,0.000148546,0.000478618,7.19E-05,2.36E-05,7.19E-05,7.19E-05,0.000356799,0.000148546,0.000478618,0.000609746,0.000245727,0.003517944,0.000609746,0.000897365,0.000148546,0.000245727,0.000478618,7.19E-05,0.007816247,0.000148546,0.000609746,0.000245727,0.001567083,0.000148546,0.000609746,0.000148546,0.004306001,0.039176655,0.001053208,0.000897365,0.017558079,0.001947651,2.36E-05
Acidicapsa_sp.,0.098433403,0.237531984,0.131033316,0.015727133,0.062420258,0.020137103,0.152512483,0.035826506,0.015727133,0.145199466,0.021698795,0.207659754,0.305478541,0.046122551,0.072712829,0.013018422,0.080895184,0.10150641,0.009308296,0.01862115,0.078123894,0.086568534,0.001003188,0.117500352,0.001658557,0.089470261,0.008167538,0.026657066,0.026657066,0.13451639,0.006034229,0.023306093,0.010497399,0.080895184,0.024958881,0.017151096,0.000485927,0.014349485,0.001658557,0.163760063,0.001658557,0.002406712,0.002406712,0.167581614,0.007075862,0.092415114,0.028400566,0.156225041,0.001658557,0.228859167,0.007075862,0.030189314,0.001658557,0.080895184,0.000485927,0.017151096,0.003226151,0.057540392,0.004106939,0.024958881,0.015727133,0.023306093,0.000485927,0.001658557,0.046122551,0.083710118,0.003226151,0.057540392,0.001003188,0.015727133,0.003226151,0.028400566,0.001003188,0.000485927,0.01862115,0.003226151,0.083710118,0.015727133,0.03390233,0.001003188,0.089470261,0.01862115,0.062420258,0.015727133,0.141599847,0.000485927,0.032023252,0.008167538,0.138038692,0.021698795,0.01862115,0.003226151,0.062420258,0.014349485,0.014349485,0.001658557,0.003226151,0.001003188,0.023306093,0.003226151,0.156225041,0.003226151,0.089470261,0.001003188,0.159974385,0.000485927,0.080895184,0.000485927,0.03779574,0.000485927,0.179256682,0.015727133,0.032023252,0.001003188,0.003226151,0.000485927,0.000159801,0.000485927,0.000485927,0.002406712,0.001003188,0.003226151,0.004106939,0.001658557,0.023306093,0.004106939,0.006034229,0.001003188,0.001658557,0.003226151,0.000485927,0.050555372,0.001003188,0.004106939,0.001658557,0.010497399,0.001003188,0.004106939,0.001003188,0.028400566,0.216053674,0.007075862,0.006034229,0.107778982,0.013018422,0.000159801
Acidisoma,0.032021681,0.086250463,0.043692796,0.004818039,0.019773234,0.006188275,0.051706897,0.011133222,0.004818039,0.048948359,0.006675564,0.073567846,0.117596898,0.01443903,0.023207737,0.003980622,0.025975348,0.033097484,0.002838774,0.005716286,0.025034244,0.027914032,0.000304173,0.038777719,0.000503114,0.028911924,0.002488883,0.008229838,0.008229838,0.044974379,0.001836057,0.007178209,0.003204091,0.025975348,0.007696276,0.005259551,0.000147283,0.00439173,0.000503114,0.056011548,0.000503114,0.000730444,0.000730444,0.057491517,0.002154569,0.029929058,0.00877898,0.053119385,0.000503114,0.08250358,0.002154569,0.009343789,0.000503114,0.025975348,0.000147283,0.005259551,0.000979707,0.018162823,0.00124795,0.007696276,0.004818039,0.007178209,0.000147283,0.000503114,0.01443903,0.026935225,0.000979707,0.018162823,0.000304173,0.004818039,0.000979707,0.00877898,0.000304173,0.000147283,0.005716286,0.000979707,0.026935225,0.004818039,0.010520805,0.000304173,0.028911924,0.005716286,0.019773234,0.004818039,0.047602007,0.000147283,0.009924364,0.002488883,0.046277399,0.006675564,0.005716286,0.000979707,0.019773234,0.00439173,0.00439173,0.000503114,0.000979707,0.000304173,0.007178209,0.000979707,0.053119385,0.000979707,0.028911924,0.000304173,0.05455422,0.000147283,0.025975348,0.000147283,0.011761726,0.000147283,0.062068724,0.004818039,0.009924364,0.000304173,0.000979707,0.000147283,4.84E-05,0.000147283,0.000147283,0.000730444,0.000304173,0.000979707,0.00124795,0.000503114,0.007178209,0.00124795,0.001836057,0.000304173,0.000503114,0.000979707,0.000147283,0.015877446,0.000304173,0.00124795,0.000503114,0.003204091,0.000304173,0.00124795,0.000304173,0.00877898,0.077068777,0.002154569,0.001836057,0.035308862,0.003980622,4.84E-05
Acinetobacter,0.064883999,0.165263612,0.087450531,0.01005249,0.040592687,0.012892102,0.102629306,0.023069614,0.01005249,0.097433211,0.013899893,0.142778018,0.218460688,0.029812863,0.047468298,0.008312878,0.052972174,0.066987444,0.005935722,0.011914932,0.051104276,0.056808263,0.000637777,0.078014636,0.001054679,0.058776632,0.005206111,0.017107243,0.017107243,0.089894953,0.00384331,0.014938323,0.006696903,0.052972174,0.016007424,0.010968386,0.00030887,0.009167294,0.001054679,0.110678512,0.001054679,0.00153085,0.00153085,0.113429359,0.004508461,0.060778661,0.018237842,0.10527842,0.001054679,0.158680327,0.004508461,0.019399293,0.001054679,0.052972174,0.00030887,0.010968386,0.002052689,0.037351267,0.002613944,0.016007424,0.01005249,0.014938323,0.00030887,0.001054679,0.029812863,0.054873473,0.002052689,0.037351267,0.000637777,0.01005249,0.002052689,0.018237842,0.000637777,0.00030887,0.011914932,0.002052689,0.054873473,0.01005249,0.021815085,0.000637777,0.058776632,0.011914932,0.040592687,0.01005249,0.09488631,0.00030887,0.020591677,0.005206111,0.092373551,0.013899893,0.011914932,0.002052689,0.040592687,0.009167294,0.009167294,0.001054679,0.002052689,0.000637777,0.014938323,0.002052689,0.10527842,0.002052689,0.058776632,0.000637777,0.107961509,0.00030887,0.052972174,0.00030887,0.024355367,0.00030887,0.121884153,0.01005249,0.020591677,0.000637777,0.002052689,0.00030887,0.000101562,0.00030887,0.00030887,0.00153085,0.000637777,0.002052689,0.002613944,0.001054679,0.014938323,0.002613944,0.00384331,0.000637777,0.001054679,0.002052689,0.00030887,0.032731954,0.000637777,0.002613944,0.001054679,0.006696903,0.000637777,0.002613944,0.000637777,0.018237842,0.149042646,0.004508461,0.00384331,0.071296184,0.008312878,0.000101562
Actinoallomurus,0.015896227,0.044059523,0.021822512,0.002358398,0.009753692,0.00303125,0.025933967,0.005467349,0.002358398,0.024514857,0.00327076,0.037327397,0.061097576,0.007102864,0.011468217,0.001947651,0.012854269,0.016439479,0.001388151,0.002799373,0.012382507,0.013827556,0.000148546,0.019317963,0.000245727,0.014329297,0.001216837,0.004035513,0.004035513,0.022477682,0.000897365,0.003517944,0.001567083,0.012854269,0.003772846,0.002575098,7.19E-05,0.002149252,0.000245727,0.028156704,0.000245727,0.000356799,0.000356799,0.028923227,0.001053208,0.014841249,0.004306001,0.026662206,0.000245727,0.042061126,0.001053208,0.004584365,0.000245727,0.012854269,7.19E-05,0.002575098,0.000478618,0.00895186,0.000609746,0.003772846,0.002358398,0.003517944,7.19E-05,0.000245727,0.007102864,0.013335916,0.000478618,0.00895186,0.000148546,0.002358398,0.000478618,0.004306001,0.000148546,7.19E-05,0.002799373,0.000478618,0.013335916,0.002358398,0.005164973,0.000148546,0.014329297,0.002799373,0.009753692,0.002358398,0.023823728,7.19E-05,0.004870668,0.001216837,0.023144712,0.00327076,0.002799373,0.000478618,0.009753692,0.002149252,0.002149252,0.000245727,0.000478618,0.000148546,0.003517944,0.000478618,0.026662206,0.000478618,0.014329297,0.000148546,0.027403074,7.19E-05,0.012854269,7.19E-05,0.005777866,7.19E-05,0.031301497,0.002358398,0.004870668,0.000148546,0.000478618,7.19E-05,2.36E-05,7.19E-05,7.19E-05,0.000356799,0.000148546,0.000478618,0.000609746,0.000245727,0.003517944,0.000609746,0.000897365,0.000148546,0.000245727,0.000478618,7.19E-05,0.007816247,0.000148546,0.000609746,0.000245727,0.001567083,0.000148546,0.000609746,0.000148546,0.004306001,0.039176655,0.001053208,0.000897365,0.017558079,0.001947651,2.36E-05
Actinoallomurus_bryophytorum,0.132515127,0.303559263,0.174221264,0.021867079,0.085211265,0.027949832,0.201141173,0.049419358,0.021867079,0.19202473,0.030098814,0.268305361,0.380956325,0.063365074,0.098865602,0.018120344,0.109642944,0.136491054,0.012975334,0.025861248,0.1060004,0.117075619,0.001403032,0.157033955,0.002319005,0.120864619,0.011390337,0.03690412,0.03690412,0.17861637,0.008422402,0.032307779,0.014625972,0.109642944,0.034576337,0.023833504,0.000679744,0.0199625,0.002319005,0.215064965,0.002319005,0.003364077,0.003364077,0.219769131,0.009872187,0.124701278,0.039290772,0.205750096,0.002319005,0.29340334,0.009872187,0.041735953,0.002319005,0.109642944,0.000679744,0.023833504,0.004508008,0.07869921,0.005736748,0.034576337,0.021867079,0.032307779,0.000679744,0.002319005,0.063365074,0.11333487,0.004508008,0.07869921,0.001403032,0.021867079,0.004508008,0.039290772,0.001403032,0.000679744,0.025861248,0.004508008,0.11333487,0.021867079,0.046800571,0.001403032,0.120864619,0.025861248,0.085211265,0.021867079,0.187518927,0.000679744,0.044239328,0.011390337,0.183049197,0.030098814,0.025861248,0.004508008,0.085211265,0.0199625,0.0199625,0.002319005,0.004508008,0.001403032,0.032307779,0.004508008,0.205750096,0.004508008,0.120864619,0.001403032,0.210391654,0.000679744,0.109642944,0.000679744,0.052095365,0.000679744,0.234057691,0.021867079,0.044239328,0.001403032,0.004508008,0.000679744,0.000223569,0.000679744,0.000679744,0.003364077,0.001403032,0.004508008,0.005736748,0.002319005,0.032307779,0.005736748,0.008422402,0.001403032,0.002319005,0.004508008,0.000679744,0.069334612,0.001403032,0.005736748,0.002319005,0.014625972,0.001403032,0.005736748,0.001403032,0.039290772,0.27828968,0.009872187,0.008422402,0.144577627,0.018120344,0.000223569
