,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
0319-6G20,0.106528757,0.099692,0.123820562,0.145700614,0.162858072,0.18575338,0.220418853,0.175253644,0.270570876,0.296579811,0.148838225,0.082985898,0.124771871,0.162858072,0.161755301,0.206446214,0.190521974,0.196570019,0.144662925,0.163964877,0.150950391,0.162858072,0.11004562,0.205198397,0.150950391,0.157384642,0.205198397,0.241528267,0.172963915,0.131546471,0.20395436,0.223007291,0.371767713,0.0883562,0.184570996,0.183392533,0.167309442,0.211475087,0.124771871,0.182217997
4-29-1,0.527002101,0.50853949,0.569074296,0.61445671,0.645129525,0.680695388,0.725435428,0.665070101,0.776100486,0.79756988,0.620358592,0.458188028,0.571216273,0.645129525,0.643270474,0.708545705,0.687442702,0.695707823,0.612473994,0.646980848,0.624254575,0.645129525,0.536071617,0.706966749,0.624254575,0.635756947,0.706966749,0.748474687,0.66151378,0.586001228,0.705380461,0.72841312,0.846858595,0.475255181,0.678989669,0.67727637,0.652488492,0.714788559,0.571216273,0.675555479
661239,0.159262986,0.149608573,0.18335799,0.213198782,0.236107943,0.26602859,0.309972032,0.252397828,0.370808243,0.401153552,0.217420012,0.12570554,0.184670313,0.236107943,0.234648198,0.292452131,0.27216914,0.279912793,0.21179955,0.237571288,0.220253579,0.236107943,0.164200833,0.290875018,0.220253579,0.228845666,0.290875018,0.33596187,0.249404985,0.19397636,0.289300622,0.313189628,0.484588974,0.133438098,0.264501214,0.262976993,0.241982707,0.298787223,0.184670313,0.261455951
67-14,0.394750519,0.377226032,0.435996791,0.482653124,0.515544461,0.555142048,0.607325828,0.537546893,0.669867157,0.697553403,0.488894372,0.331116474,0.438147163,0.515544461,0.513518469,0.587303922,0.562838569,0.572348894,0.480565588,0.517566274,0.493036962,0.515544461,0.403485551,0.585452427,0.493036962,0.505373443,0.585452427,0.635293319,0.533586116,0.453127664,0.583595785,0.610897388,0.763988402,0.346477165,0.553205862,0.551264904,0.523606278,0.594658077,0.438147163,0.549319201
A0839,0.323409148,0.307443007,0.361655319,0.406084185,0.438177018,0.477691638,0.531289935,0.460012857,0.597924007,0.628295782,0.412124052,0.26621702,0.363675458,0.438177018,0.436181322,0.510515768,0.485486226,0.495169985,0.404069161,0.440171095,0.416145783,0.438177018,0.331429991,0.508608014,0.416145783,0.428183295,0.508608014,0.560756211,0.456059977,0.377821959,0.5066972,0.535023594,0.703476903,0.279826519,0.475736701,0.473779327,0.446143157,0.518115537,0.363675458,0.471819556
A21b,0.677532675,0.661168023,0.71349464,0.750340174,0.774175532,0.800801572,0.832845272,0.789233873,0.86731531,0.881375121,0.754991376,0.614603103,0.71527792,0.774175532,0.772754381,0.820931866,0.805735213,0.811728951,0.748770545,0.775587819,0.758044595,0.774175532,0.685438668,0.819806923,0.758044595,0.766980161,0.819806923,0.848750712,0.786572854,0.727465479,0.818674806,0.834923162,0.912497214,0.630714251,0.799548518,0.798287513,0.779771984,0.82536078,0.71527792,0.79701851
A4b,0.922298736,0.916830762,0.933637702,0.944379122,0.950901515,0.957825645,0.965692109,0.954862556,0.97363422,0.976730307,0.945677064,0.900091772,0.934177166,0.950901515,0.95052145,0.962824293,0.959068978,0.960563394,0.943938282,0.951278129,0.946522335,0.950901515,0.924869194,0.962550083,0.946522335,0.94896591,0.962550083,0.969420773,0.954171248,0.937809405,0.962273522,0.966185637,0.983309038,0.906091881,0.957507936,0.957187417,0.952387642,0.963898098,0.934177166,0.95686406
ABY1,0.028191068,0.026234215,0.033240128,0.039841755,0.045192899,0.052585402,0.064363399,0.049158556,0.082778322,0.093037969,0.040808628,0.021543398,0.033522137,0.045192899,0.0448442,0.059527935,0.054162759,0.05618257,0.03952312,0.04554354,0.041462423,0.045192899,0.029206286,0.059101995,0.041462423,0.043468688,0.059101995,0.071905963,0.048419568,0.035543455,0.058678292,0.065272676,0.125857225,0.023037435,0.052196339,0.051809371,0.046607203,0.061254238,0.033522137,0.05142449
AD3,0.089930835,0.084059076,0.104844607,0.123845425,0.13884754,0.159008492,0.189846527,0.149742497,0.235140552,0.258952784,0.126582128,0.069769679,0.105667707,0.13884754,0.137880575,0.177370968,0.163228137,0.168590202,0.122940991,0.13981842,0.128426112,0.13884754,0.092956755,0.176259856,0.128426112,0.134051852,0.176259856,0.208812286,0.147726376,0.111537218,0.175152598,0.192164443,0.329064045,0.074354061,0.157963322,0.156922053,0.142754547,0.181853896,0.105667707,0.155884685
ADurb.Bin120,0.028191068,0.026234215,0.033240128,0.039841755,0.045192899,0.052585402,0.064363399,0.049158556,0.082778322,0.093037969,0.040808628,0.021543398,0.033522137,0.045192899,0.0448442,0.059527935,0.054162759,0.05618257,0.03952312,0.04554354,0.041462423,0.045192899,0.029206286,0.059101995,0.041462423,0.043468688,0.059101995,0.071905963,0.048419568,0.035543455,0.058678292,0.065272676,0.125857225,0.023037435,0.052196339,0.051809371,0.046607203,0.061254238,0.033522137,0.05142449
