Species,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
0319-6G20,0,0,0,34,0,0,0,0,0,0,11,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,15,0
4-29-1,0,112,180,218,0,0,0,11,0,0,61,0,28,1002,731,122,124,127,38,0,28,122,0,106,179,115,0,0,175,95,0,0,69,0,69,19,5,64,242,59
661239,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,16,0,16,20,15,0,0,0,0,0,0,19,0,0,0,0,0,15,0
67-14,41,0,19,17,0,0,84,61,0,0,0,42,0,0,0,21,0,0,19,14,0,27,20,68,102,69,121,94,0,0,0,0,143,0,0,129,11,236,0,133
A0839,0,8,17,22,0,0,0,0,35,0,0,0,28,26,41,44,25,17,0,13,35,0,8,0,0,0,0,0,0,14,35,37,0,9,0,0,0,0,16,0
A21b,81,73,84,100,109,118,76,83,84,85,197,88,138,35,24,281,259,44,0,52,34,0,99,0,0,0,40,34,209,93,186,428,456,129,295,0,0,0,98,0
A4b,16,38,40,39,58,210,94,110,256,296,102,6,56,666,419,122,104,136,91,58,49,86,0,259,128,188,119,152,55,95,78,56,342,0,387,141,90,123,134,68
ABY1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD3,13,0,0,0,15,0,6,11,0,0,12,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADurb.Bin063-1,178,40,135,226,60,85,133,62,146,146,72,24,37,39,31,163,128,291,212,119,131,155,142,226,154,248,159,219,155,49,71,53,238,151,68,108,206,131,89,169
ADurb.Bin120,0,0,0,0,0,0,0,0,0,0,0,0,0,86,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAU3564_sediment_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKIW659,0,20,0,14,0,0,0,0,0,8,0,11,0,0,0,0,0,25,0,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKYG1722,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
AKYG587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0,0,5,7,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT-s2-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,10,0,0
AT-s3-28,0,0,0,0,0,0,0,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Acetobacteraceae,344,351,219,239,505,463,237,334,55,14,765,308,552,470,590,457,419,278,34,270,151,0,439,0,0,0,76,101,883,648,835,896,180,362,97,0,0,0,408,0
Acetobacteraceae_bacterium,0,86,41,45,0,0,24,17,0,56,68,0,0,320,559,93,46,89,0,14,39,0,20,0,0,0,29,33,66,26,16,30,60,0,0,0,0,0,84,0
Acetobacteroides_hydrogenigenes,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidibacter,89,0,68,148,222,239,184,97,154,130,263,60,277,84,105,135,145,134,145,162,38,56,54,59,44,0,124,219,215,111,513,488,274,73,185,260,191,195,42,162
Acidimicrobiia,9,0,36,58,26,20,48,50,24,73,0,7,34,4,19,15,22,26,37,99,99,33,0,71,70,95,44,72,25,0,50,77,112,4,0,76,46,47,29,106
Acidisphaera_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
Acidobacteria_bacterium,46,0,103,52,115,16,187,131,562,672,27,22,16,282,207,68,50,390,583,400,306,739,28,856,689,748,219,196,97,37,88,234,1768,20,291,412,370,351,41,420
Acidobacteriaceae_(Subgroup_1),32,69,79,108,163,165,16,40,0,0,198,37,201,0,0,64,82,29,0,29,6,0,41,0,0,0,6,15,84,69,243,368,20,16,27,0,0,0,50,0
Acidobacteriaceae_bacterium,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteriae,108,109,96,93,105,126,11,29,150,93,102,65,90,200,246,149,142,77,28,99,53,86,79,193,127,196,18,28,184,189,247,398,199,112,121,46,30,68,109,39
Acidobacteriales,29,0,0,0,69,54,0,0,11,34,161,21,127,136,223,268,209,66,0,51,55,0,40,0,41,29,23,11,115,108,112,147,97,52,67,0,0,0,60,0
Acidobacteriota,0,0,57,70,0,0,47,0,64,54,0,0,0,49,35,20,0,31,33,0,23,117,0,91,131,156,0,29,30,9,0,23,163,0,13,54,21,43,17,31
Acidothermus,259,464,182,91,518,515,203,220,53,73,449,259,410,522,698,251,237,122,9,27,0,0,366,0,0,0,79,70,1312,793,1138,1036,282,259,194,0,0,0,358,0
Acinetobacter,0,0,6,0,0,0,0,0,10,0,11,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0
Actinoallomurus,0,43,0,0,0,17,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,62,152,355,361,163,151,110,71,0,0,125,118,195,37,102,92,77,29,19,87,79,0,121,0,5,30,73,48,294,133,318,163,129,90,21,140,66,194,246,132
Actinobacteria_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Actinobacteriota,0,0,0,7,0,7,0,0,0,0,0,0,8,0,0,0,6,8,0,0,0,0,0,0,0,0,14,14,0,0,4,0,10,0,0,0,0,0,0,0
Actinocorallia,0,0,0,0,0,8,0,0,0,13,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,15,0,0,62,18,0,0,0,15,0,14,0,0
Actinomadura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,18
Actinomarinales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,88,0,0,23,0,57,24,26,0,0,0,0,0,0,17,0,0,222,156,194,0,209
Actinophytocola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0
Adhaeribacter,0,0,0,24,0,0,15,28,0,0,0,0,17,0,0,0,0,0,37,22,0,0,0,38,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0
Adhaeribacter_terrae,23,13,32,0,38,29,39,0,48,0,15,13,21,0,0,38,19,34,18,0,0,0,26,20,0,0,0,17,5,0,20,22,109,0,75,18,43,80,30,24
Aetherobacter,0,0,0,0,16,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,24,0,35,0,0,0,0,0
Aetherobacter_rufus,61,0,0,0,0,24,46,15,0,0,0,0,26,0,0,39,0,23,23,42,0,17,0,23,0,0,0,45,0,0,0,40,0,0,0,0,0,0,0,0
Agromyces,5,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,27,47,0,0,12,0,24,21,18,18,54,0,0,0,0,23,5,17,135,125,108,0,37
Alcaligenaceae,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Algoriphagus_terrigena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14
Alkaliphilus,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,22,17,0,58,0,27,39,11,45,60,53,0,23,0,0,60,52,121,53,23,0,0,15,26,26,49,26,37,15,0,0,21,0,0,0,28,25,38,0,12
Alphaproteobacteria,0,3,19,26,25,26,26,21,101,118,54,0,10,127,85,131,93,144,52,244,288,117,20,94,10,74,116,135,77,50,42,56,223,31,138,134,122,142,11,94
Alterococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,33,0,14,0,0,0,0,0,0,98,0,21,15,0,27,0,24
Amaricoccus_macauensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,19,0,0,0,0,0,0,0,0,0,0,23,33,25,0,0
