SampleID,Farm,Treatment,Site,Site_ID,Management intensity,Flood Risk,Lat,Long,Mean 10yr Precip (mm),SD_10yr Precip,SE_10yr Precip,Range 10yr Precip,Mean Bulk Density,SD_BD,SE_BD,Mean Soil Moisture (Gravimetric %),SD_Soil Moist,SE_Soil Moist,Grass Yield,Mean Photosynth rate,SD_Photosynth,SE_Photosynth,Mean Soil Respiration (?mol/m^2/s),SD_Soil Resp,SE_Soil Resp,Probe moist mean trend (Volumetric %),SD_Probe Moist,SE_Probe Moist,Probe moist final measurement (Gravimetric %),Soil DNA TOT (ng/ÂµL in 100ÂµL elution volume),Plant species total,Dominant plant species,pH,Microbial biomass (mg PLFA/kg),Total bacteria (mg PLFA/kg),Gram positive bacteria (mg PLFA/kg),Actinomycetes (mg PLFA/kg) ,Gram negative bacteria (mg PLFA/kg),Total fungi (mg PLFA/kg),Arbuscular Mycorrhiza (mg PLFA/kg),Other fungi (mg PLFA/kg),Protozoa (mg PLFA/kg),Shannon Wiener Index ,Fungal/ bacterial ratio,Gram(+)/  Gram(-) ratio ,C-organic (%),Organic matter (%) ,SOC/SOM ratio,Clay (<2 ?m) (%)
#q2:types,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical
1-1A,Lyons,Control,1,Lyons_site1_control,Semi-Improved,Low,53.294973,-6.53802,811.57,111.49,35.26,360.6,0.58,0.16,0.11,37.91,0.75,0.53,24.72,19.2,3.55,1.25,12.83,0.15,0.09,31,0.11,0,39,315.7,16,Meadow foxtail,4.9,80,70,26,7,45,4.6,3.5,1.1,0.25,1.1,0.5,0.6,5.2,9.1,0.57,16
10-2B,Kildare_2,Drought,8,Dempsey_site8_Drought,Semi-natural,High,53.17025,-7.07877,929.35,126.19,39.91,395.9,0.39,0.08,0.05,51.28,9.18,6.49,23.14,28.11,10.14,2.93,12.03,0.06,0.03,30,0.14,0,51,408.9,18,Meadow fescue,5.1,160,150,50,11,100,7,5,1.8,0.35,0.99,0.4,0.5,NA,27.3,NA,20
11-2C,Kildare_2,Control,9,Dempsey_site9_control,Semi-natural,High,53.17084,-7.078101,929.35,126.19,39.91,395.9,0.47,0.15,0.11,48.6,2.11,1.49,23.67,15.07,2.65,0.77,13.23,0.31,0.18,40,0.12,0,49,293,18,Meadow fescue,5.3,70,70,23,6,45,4.4,3.1,1.3,0.28,1.07,0.5,0.5,6.8,12.7,0.54,16
12-2D,Kildare_2,Drought,9,Dempsey_site9_Drought,Semi-natural,High,53.17084,-7.078101,929.35,126.19,39.91,395.9,0.56,0.1,0.07,23.78,7.81,5.52,25.84,13.73,5.88,1.7,12.27,0.57,0.33,23,0.11,0,44,275,18,Meadow fescue,5.4,110,100,28,7,70,6,4.5,1.4,0.33,0.98,0.5,0.4,8.4,16.6,0.51,16
13-2E,Wexford,Control,3,Doran_site3_Control,Improved,Low,52.62996,-6.5617,1122.5,149.89,47.4,420.4,0.57,0.01,0.01,39.19,3.17,2.24,53.66,31.01,11.81,2.95,15,0.82,0.47,30,0.12,0,40,358.6,13,Perennial ryegrass,4.6,70,60,20,5,42,4.8,3.6,1.2,0.35,1.08,0.7,0.5,5.2,10.4,0.5,25
14-2F,Wexford,Drought,3,Doran_site3_Drought,Improved,Low,52.62996,-6.5617,1122.5,149.89,47.4,420.4,0.48,0.14,0.1,24.11,0.42,0.29,36.77,29.97,9.84,2.46,6.09,0.16,0.09,18,0.02,0,19,360.2,13,Perennial ryegrass,4.7,80,70,24,6,48,7,4.5,2.1,0.54,1.13,0.7,0.5,5.8,11.7,0.5,27
15-2G,Wexford,Control,4,Doran_site4_Control,Improved,Low,52.62938,-6.56293,1122.5,149.89,47.4,420.4,0.76,0.1,0.07,40.41,3.94,2.79,66.76,NA,NA,NA,6.91,0.21,0.12,28,0.12,0,43,315.8,13,Perennial ryegrass,6.1,80,70,23,7,47,6,4.9,1.2,0.5,1.12,0.8,0.5,6.6,12.8,0.52,28
16-2H,Wexford,Drought,4,Doran_site4_Drought,Improved,Low,52.62939,-6.56294,1122.5,149.89,47.4,420.4,0.65,0.02,0.02,25.62,9.64,6.82,21.14,NA,NA,NA,8.94,0.41,0.24,13,0.04,0,23,326.6,13,Perennial ryegrass,5.4,80,70,23,7,47,6,4.4,1.4,0.41,1.11,0.7,0.5,6.4,12.9,0.5,28
17-3A,Wexford,Control,5,Doran_site5_Control,Semi-Improved,High,52.62762,-6.55917,1122.5,149.89,47.4,420.4,0.61,0,0,44.36,1.36,0.96,40.98,16.52,3.62,0.97,9.36,0.04,0.02,47,0.06,0,50,119.6,16,Perennial ryegrass,6.4,37,33,12,2.9,21,3.1,2.1,1,0.31,1.17,0.8,0.6,3.46,7.7,0.45,20
18-3B,Wexford,Drought,5,Doran_site5_Drought,Semi-Improved,High,52.62762,-6.55917,1122.5,149.89,47.4,420.4,0.71,0.26,0.18,41.61,5.6,3.96,37.49,16.23,3.5,0.9,13.97,0.57,0.33,44,0.07,0,50,160.9,16,Perennial ryegrass,6.4,41,37,12,3.1,25,3.6,2.4,1.2,0.3,1.13,0.8,0.5,3.65,8.4,0.43,23
19-3C,Laois,Control,12,Laois_site12_control,Semi-natural,Low,52.94324,-7.41193,896.21,106.99,33.83,330.4,0.48,0.06,0.04,42.03,1.49,1.05,58.84,NA,NA,NA,14.23,0.57,0.33,36,0.11,0,43,208,30,Sweet vernal grass,5,80,80,24,6,50,4.7,3.5,1.2,0.22,1.04,0.5,0.5,4.26,7.4,0.58,10
