,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
0319-6G20,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
4-29-1,0.527445,0.508996,0.56949,0.614848,0.645506,0.681057,0.725781,0.665438,0.776435,0.797903,0.620747,0.458707,0.571631,0.645506,0.643648,0.708897,0.687801,0.696063,0.612866,0.647356,0.624641,0.645506,0.536508,0.707318,0.624641,0.636138,0.707318,0.748814,0.661883,0.586407,0.705732,0.728758,0.847197,0.475747,0.679351,0.677639,0.652862,0.715137,0.571631,0.675919
661239,0.159348,0.149696,0.183441,0.213284,0.236198,0.26613,0.310098,0.252493,0.37099,0.401374,0.217506,0.12581,0.184753,0.236198,0.234738,0.292567,0.272273,0.280021,0.211884,0.237662,0.22034,0.236198,0.164285,0.290989,0.22034,0.228934,0.290989,0.336109,0.249499,0.194059,0.289414,0.313318,0.484955,0.133534,0.264602,0.263077,0.242075,0.298906,0.184753,0.261555
67-14,0.395059,0.377541,0.436294,0.482944,0.515834,0.555432,0.607624,0.537836,0.670185,0.697886,0.489185,0.331472,0.438444,0.515834,0.513808,0.587598,0.56313,0.572641,0.480857,0.517856,0.493327,0.515834,0.403791,0.585746,0.493327,0.505663,0.585746,0.635598,0.533875,0.453422,0.583889,0.611196,0.764371,0.346813,0.553496,0.551555,0.523896,0.594953,0.438444,0.549609
A0839,0.323648,0.307687,0.361889,0.406317,0.438413,0.477935,0.531551,0.460253,0.598222,0.628617,0.412358,0.266492,0.363909,0.438413,0.436417,0.510769,0.485732,0.495419,0.404302,0.440408,0.41638,0.438413,0.331667,0.508861,0.41638,0.428418,0.508861,0.561032,0.456299,0.378055,0.506949,0.535287,0.703878,0.280086,0.47598,0.474022,0.446381,0.518372,0.363909,0.472062
A21b,0.678119,0.661781,0.714027,0.750819,0.774621,0.801211,0.833213,0.789659,0.867641,0.881685,0.755464,0.615313,0.715807,0.774621,0.773202,0.821315,0.806138,0.812124,0.749252,0.776032,0.758513,0.774621,0.686013,0.820191,0.758513,0.767436,0.820191,0.849098,0.787002,0.727977,0.819061,0.835288,0.912778,0.631384,0.79996,0.798701,0.78021,0.825738,0.715807,0.797433
A4b,0.923489,0.918101,0.934662,0.945245,0.95167,0.958492,0.966241,0.955573,0.974064,0.977114,0.946523,0.901614,0.935193,0.95167,0.951296,0.963416,0.959716,0.961189,0.94481,0.952042,0.947356,0.95167,0.926022,0.963146,0.947356,0.949764,0.963146,0.969914,0.954892,0.938772,0.962873,0.966727,0.983595,0.907522,0.958179,0.957863,0.953135,0.964473,0.935193,0.957544
ABY1,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
AD3,0.08995,0.084082,0.10486,0.123858,0.13886,0.159025,0.189877,0.149757,0.23521,0.259054,0.126595,0.069806,0.105682,0.13886,0.137893,0.177395,0.163246,0.16861,0.122953,0.139831,0.128438,0.13886,0.092975,0.176283,0.128438,0.134064,0.176283,0.208856,0.147741,0.111551,0.175175,0.192196,0.329301,0.074384,0.15798,0.156938,0.142768,0.18188,0.105682,0.155901
ADurb.Bin063-1,0.996995,0.996766,0.997464,0.997897,0.998156,0.998427,0.998731,0.998312,0.999032,0.999149,0.997949,0.996046,0.997486,0.998156,0.998141,0.998621,0.998475,0.998533,0.99788,0.998171,0.997983,0.998156,0.997102,0.99861,0.997983,0.99808,0.99861,0.998873,0.998285,0.997633,0.998599,0.99875,0.999394,0.996307,0.998415,0.998402,0.998215,0.998662,0.997486,0.99839
