,degree,betweenness,closeness,eigenvector,clustering
Pseudomonas,317,0.018265882784046453,0.9876923076923076,0.08887024523298365,0.4582917382102783
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,315,0.016135932253601572,0.981651376146789,0.08889735992418556,0.4645435244161359
Caulobacter,311,0.016144455055105433,0.9697885196374623,0.08847827846210223,0.47279327870552845
Sphingomonas,309,0.017115836860782333,0.963963963963964,0.08793249873682304,0.4735216240070609
Mitochondria,306,0.012486002552476502,0.9553571428571429,0.08823847862961799,0.48595306975249114
Streptomyces,305,0.012608635952969998,0.9525222551928784,0.0879822394180869,0.4864106988783434
Comamonadaceae,304,0.011320094028399789,0.9497041420118343,0.0883000967235391,0.49311707486538126
metagenome,304,0.010856491118797065,0.9497041420118343,0.08839124767798644,0.49402900816397427
Bradyrhizobium,303,0.015270921184343257,0.9469026548672567,0.08764406028022155,0.49019736410727166
Rhynchosporium_secalis,300,0.009126215242976216,0.9385964912280702,0.08826279804344224,0.5060646599777034
Xanthobacteraceae,290,0.008793561268650583,0.9119318181818182,0.08658297258839781,0.5238277055244004
uncultured,288,0.007625279074832567,0.9067796610169492,0.08679645782319458,0.5336333720480062
Rhizobiaceae,288,0.007593493480584302,0.9067796610169492,0.08665491722297737,0.5318428184281843
Micromonosporaceae,286,0.0073347224236756945,0.901685393258427,0.08649349791371101,0.5378235799288431
uncultured_bacterium,286,0.008551067725281828,0.901685393258427,0.08627854375760585,0.5355907250644093
Mycobacterium,285,0.007254263599077495,0.8991596638655462,0.08589691368793476,0.5352112676056338
Enterobacteriaceae,285,0.010417028694444549,0.8991596638655462,0.0850163143683149,0.5250308870768471
Microbacteriaceae,284,0.007275460988519011,0.8966480446927374,0.08581371240136616,0.537475737819141
Bacillus,282,0.008912932883470063,0.8916666666666667,0.08419635968620824,0.5276747179526009
Kineosporia,280,0.006904596337739315,0.8867403314917127,0.08528847683378211,0.5467741935483871
Actinoplanes,280,0.006440287544413949,0.8867403314917127,0.08590907735458626,0.5546850998463901
Devosia,278,0.006038781721101607,0.8818681318681318,0.08576065719859804,0.560683583097421
Variovorax,277,0.006086186819644382,0.8794520547945206,0.0855401293040258,0.5622351279234029
Dactylosporangium,273,0.006718052715690298,0.8699186991869918,0.0841748309130297,0.5618939883645766
uncultured_soil,271,0.007671668999112167,0.8652291105121294,0.08265861519921351,0.5524668580019133
Sphingomonadaceae,269,0.005677385388028277,0.8605898123324397,0.08334179454634852,0.5692171114686789
uncultured_eubacterium,268,0.006395839935927495,0.8582887700534759,0.08298992336617246,0.5684778355413942
Enterobacterales,267,0.005601385233861606,0.856,0.08343147421440635,0.5787220861141618
bacterium_Ellin335,266,0.005347758636283272,0.8537234042553191,0.08312082643834916,0.5790892325152504
uncultured_prokaryote,264,0.00607063523078947,0.8492063492063492,0.081735424468586,0.5714944117985943
Mucilaginibacter,260,0.005628345847129302,0.8403141361256544,0.08161220578296187,0.5864864864864865
Dongia,259,0.00574487754593134,0.8381201044386423,0.0813652628723172,0.5883990302594954
BIrii41,255,0.004158940602570128,0.8294573643410853,0.08200665828469525,0.6161185734136174
Duganella,253,0.005529675098002126,0.8251928020565553,0.08042808247578992,0.603645147123408
uncultured_Sorangiineae,252,0.0034619283319962083,0.823076923076923,0.08194996606461298,0.6298615063555303
Acidibacter,251,0.00426408577923225,0.8209718670076727,0.08060604516313909,0.615585657370518
Micromonospora,251,0.004267565754989514,0.8209718670076727,0.08045291047491639,0.613418326693227
